id,version_id,content_sha256,title,primary_topic,subtopic,secondary_topics,evidence,reason,review_status,quality_flag,validation_status
293,91,c6a70c5b0d0d6e87d759b146163952379cba0eed6d85613d3ce6154bb09021bc,首尾相接训练,柔韧与活动度,躯干后伸柔韧,安全防护与健康边界,练习者俯卧直臂撑地面，屈腿仰头，头足相触,头足相触体现大幅后伸柔韧任务；极限腰颈后伸仅配热身提示需专业核查适龄与安全。,proposed,专业复核,passed
299,97,fac087631ad8f3d052552ecc241afefb9e0688c2edbc0ed553480e905522a996,小猫弓背训练,柔韧与活动度,脊柱屈伸活动度,基础动作与身体控制,呼气、低头、含胸、拱背,跪撑配合呼吸交替塌腰拱背以脊柱屈伸活动控制为主要内容。,proposed,,passed
300,98,e56e1ed6d1ab465d36c4fb516dbcacaf83c274e5310da976031909851c11b060,顶峰式训练,柔韧与活动度,肩带与下肢后侧链伸展,安全防护与健康边界,双肩下压，尽量将额头和双脚脚跟着地,倒V位压肩直膝落跟体现伸展目标；保持3次语句残缺且极限着地及充分压肩提示需专业复核。,needs_review,专业复核,passed
315,113,af810bca2899fb63992074565897ee843d05b6e6ffc23120412251ccedcfe2d7,弓步行进前后摆手,柔韧与活动度,肩髋联合活动度,,增加肩关节活动幅度,明确目标同时增加肩关节和髋关节活动幅度足以支持联合活动度分类。,proposed,,passed
316,114,498786a8e5c4ddfa3b86066a39fcd943f26170d68afe8cc362aa449f500928e1,弓步行进扩胸,柔韧与活动度,肩髋联合活动度,,增加髋关节活动幅度,正文两项训练目标均为肩髋活动范围扩展支持柔韧活动度主题。,proposed,,passed
317,115,a7b9fd029244e4914d4cfffb268cae3019cf6ad19da72693c7be46f1a7ea548d,行进双臂环绕,柔韧与活动度,肩关节活动度,,增加肩关节活动幅度,正文唯一实质训练目标为肩关节活动幅度增加。,proposed,,passed
318,116,5017d60ec0b0ae13e75be62fc70554a5d9b201a41dbb2e3cee01c8b19e6c80dc,行进间正踢腿,柔韧与活动度,大腿后侧动态伸展,力量与稳定性;基础动作与身体控制,踢腿幅度逐渐增加，骨盆不能后倾,直膝踢腿逐步加幅支持后侧肌群拉伸；并列爆发力和平衡目标且缺少主次暂待复核。,needs_review,,passed
319,117,e1cd4ea3877bdcc62addd12ab824a375b9730ac6291a5da70c403851a3d1ee38,行进燕式平衡,柔韧与活动度,大腿后侧伸展,基础动作与身体控制,拉伸腿部后侧肌肉,正文将后侧肌肉拉伸列为目标且以直膝俯身配合后抬腿实施。,proposed,,passed
320,118,dda1c18cb32e532c0ced490b37149856dcd02f24daabf484bce7fbc3d2254515,行进弓步压腿,柔韧与活动度,髋关节活动度,力量与稳定性,增加髋关节的活动幅度,暂以增加髋活动范围为主；仅并列活动度与稳定性目标且无步骤难以判断主次。,needs_review,,passed
321,119,5b2924aa60c32e729f25810f4d8244749d6cff8d57aee0aaa450c4151986f2e5,横向侧跨步,柔韧与活动度,髋横向活动与内收肌伸展,,增加髋关节的横向活动幅度,两个目标分别指向髋横向活动和大腿内侧拉伸且方向一致。,proposed,,passed
322,120,1228b181277134269e53fb772329929fe8db9222f68d385a7eb8520e3375de08,前倾弓步压腿,柔韧与活动度,髋部与背部伸展,,增加髋关节的活动幅度,正文以髋关节活动范围及背部肌肉拉伸共同构成主要目标。,proposed,,passed
324,122,6e0fd92081efabbd2f23fe30632012d7cde31640aa4655fc6cfd71a17e9db449,前摆腿,柔韧与活动度,髋活动度与大腿后侧伸展,力量与稳定性,拉伸大腿后侧肌肉,髋活动范围与后侧肌肉拉伸构成两项主要目标并辅以下肢激活。,proposed,,passed
325,123,5d49de921843b74110cc344f9c8bc3c61da967fc8ce210ce262e8cdf8c411ad5,横向侧踢腿,柔韧与活动度,髋横向活动与内收肌伸展,力量与稳定性,增加髋关节的横向活动幅度,侧向活动范围及内侧肌肉拉伸主导正文目标并伴随肌肉激活。,proposed,,passed
326,124,e570e13c2a9eab509984342ff8aaf862fcf63eabec9db817feb2fbb54a5e44c3,行进间抱膝提踵,柔韧与活动度,臀部伸展与髋活动度,基础动作与身体控制,双手抱膝，使大腿尽可能贴近胸部,抱膝贴胸并逐渐加幅主要服务臀部拉伸和髋活动度；提踵附加踝平衡任务。,proposed,,passed
327,125,c5feab0f796f5bf196f28f82560e4e5359422f4fe8ea9a21232f57ee79742548,行进间髋外旋提踵,柔韧与活动度,臀部及髋外侧动态伸展,基础动作与身体控制,在行走中进行动态拉伸,外旋抱膝踝上提的核心是臀部及大腿外侧动态拉伸并附提踵稳定。,proposed,,passed
328,126,202151f60542e30b40fc0780954187132a8fef6123a9259637a071a95430f7e2,反向屈膝提踵,柔韧与活动度,大腿前侧伸展,基础动作与身体控制,将脚后跟轻轻拉向臀部，同时支撑腿提踵,后跟拉臀明确针对大腿前侧伸展；踝关节十字韧带的解剖表述需专业复核。,proposed,专业复核,passed
329,127,cbabaf9b9da52711786e752e42c8d6e4ad0cf6487e6b94cd3c84d1db51afc3b1,坐姿屈膝后撑,柔韧与活动度,肩前侧与肱二头肌伸展,,拉伸前三角肌、肱二头肌,坐姿双手后移增加肩后伸幅度以拉伸肩前侧和上臂前侧肌肉。,proposed,,passed
330,128,9ddb7e3464e43c89577ebdc9f2189cd495fcfb8c566fbed97fc0a6ced25f7a4c,上肢向后伸展上提,柔韧与活动度,肩前侧动态伸展,,拉伸三角肌前侧肌肉,背后扣手再抬臂是以肩前侧拉伸为目标的动态活动。,proposed,,passed
331,129,79c5fe6a870671f8bbe36372f54697839bcd4e742053c85a64e2dce0ef5c1bac,跪姿推肩,柔韧与活动度,肩前侧伸展,,将一侧肩膀向地面推动,跪位单肩下推并释放的操作围绕明确的肩前侧肌肉拉伸目标。,proposed,,passed
332,130,e20518c628f23a7d5ff95ab5725e3ea0f66511810c7126c046d1e6b5600192fa,上肢后拉,柔韧与活动度,肩后伸活动度,,将训练者上肢向斜后方拉伸,辅助者握上臂向后牵拉用于扩大肩关节活动范围。,proposed,,passed
333,131,de0a023334b4fec89309e212d368ebfcc97296bd9f88a0f88d983523f9bed016,头部斜下转动,柔韧与活动度,颈部侧向伸展,安全防护与健康边界,将头部下压，使另一侧侧耳朵向肩膀靠,正文意图拉伸颈部肌群；手置同侧脸却压向另一侧的方向含糊且缺少颈部施力边界需专业复核。,proposed,专业复核,passed
334,132,9d49c0b0af72b2705d315d25a42325091afdeaac95efaa1e885294af863c17d5,反手屈肘侧拉,柔韧与活动度,肩部背后横向伸展,,将左手向右侧拉伸,屈肘背手后通过对侧牵拉增加肩部伸展幅度。,proposed,,passed
335,133,1f201975c34fe3dcb94e0ccb1eb9538cddef0b3e8574780a6e7c64913dfa12df,反手屈肘侧上拉,柔韧与活动度,肩部背后横向伸展,,将左手向右侧斜上方拉伸,辅助者固定肩膀并斜上牵腕实施背后肩部拉伸。,proposed,,passed
336,134,af568d27d169054bf331b91f80d77615c6b3b905eab146b0d4ed402964dce6f6,抱肘直臂侧压,柔韧与活动度,肩后侧伸展,,拉伸后三角肌、肱三头肌,直臂横过身体由对侧手拉肘主要伸展肩后侧组织。,proposed,,passed
337,135,3e2c80d3e516e1a1985f946535c45d82edce4b4d262b863afc31b5d9fb83e215,抱肘屈臂侧压,柔韧与活动度,肩旋转活动度,,拉伸大圆肌、肩胛下肌,固定前臂且上臂贴身后拉用于肩旋转相关肌群的拉伸。,proposed,,passed
338,136,c4432829b55d2da2d3b7963324af6b2d1911f16c7539940c9cb6c968409427b2,侧卧屈肘压前臂,柔韧与活动度,肩内旋活动度,,用力慢慢将左前臂向前推向垫子方向,侧卧屈肘下压前臂表现为肩内旋活动练习；所列肩胛下肌等靶肌对应及上臂位置矛盾需专业复核。,proposed,专业复核,passed
339,137,2e18b1f1d4a01f8b97add6ca3f1dabafd096559b6e1fcb9faa7f36ee4eaff7e8,双手背部向下拉伸,柔韧与活动度,肩上举与肱三头肌伸展,,双手分别在背部反向握住毛巾两头,下侧手牵毛巾使上侧屈肘臂拉伸服务肩上举及上臂后侧柔韧。,proposed,,passed
340,138,4d55d3a7f363c33c5845ff901335ba3785195cb53c05e49038b845e9079a8ec0,仰卧屈肘臂后倒,柔韧与活动度,肩旋转辅助伸展,,将训练者前臂推向垫子方向,固定肩后借前臂转动实施被动肩部拉伸；肱二头肌及肱桡肌等靶肌对应需专业复核。,proposed,专业复核,passed
341,139,a977db958b1d9b1c5fb5e6c057334f970f46752890e9b86ffc9014a48f837c10,坐姿反手撑腰内夹,柔韧与活动度,肩内旋活动度,,大腿内收使肩关节内旋幅度增加,坐姿夹肘直接增加肩内旋角度以伸展肩后侧肌群。,proposed,,passed
342,140,17f365c6c15614091c7fbdc5e70f72783744d662418b890bc2e9c74151eece6f,侧卧屈肘前倒,柔韧与活动度,肩内旋活动度,,右手握住左手腕，将左前臂推向垫子方向,肩肘固定角度后推动前臂主要是肩旋转拉伸；腕伸肌及肩胛下肌的靶肌对应存疑。,proposed,专业复核,passed
