id,version_id,content_sha256,title,primary_topic,subtopic,secondary_topics,evidence,reason,review_status,quality_flag,validation_status
203,1,9b0cff0c66c298ccf16fbe0325611720ef780030d6d2a09440ff5a9e7f20293f,俯卧T字训练,力量与稳定性,上肢肩胛稳定,,增强肩胛胸廓关节的稳定性,俯卧侧平举配合肩胛内收保持直接服务肩胛稳定目标。,proposed,,passed
204,2,a19a88ffbc576665dfc415bee7f68bcf665cd616e6dd94d0b4b3a62e6fc10c21,俯卧Y字训练,力量与稳定性,上肢肩胛稳定,,激活肩部及肩胛骨周围肌群,Y形抬臂时收紧肩胛并短时保持以激活肩带稳定肌。,proposed,,passed
205,3,dc5b70e3b3a05b0676d3954e25338925f2d552cb42eb969a201ec543a0cee1e0,俯卧W字训练,力量与稳定性,上肢肩胛稳定,,然后双臂上抬并屈肘后拉至与躯干呈W字形,从前伸到屈肘后拉的主要要求是肩胛内收及肩带稳定。,proposed,,passed
206,4,0de95a59c233ad7c10186b401660be735202067f53ba30fedcc1d8ee82ac3633,站姿俯身T字训练,力量与稳定性,上肢肩胛稳定,,增强肩胛胸廓关节的稳定性,俯身保持髋腿固定并完成T形抬臂强调肩胛肌群控制。,proposed,,passed
207,5,483f4a0c20682af225cef8059d6b37e7278f02454b2eb7885e46ccd14e542050,站姿俯身Y字训练,力量与稳定性,上肢肩胛稳定,,双臂伸直斜向上举过头顶,正文采用踩住弹力带后俯身上举以强化肩胛周围肌群。,proposed,,passed
208,6,b4daf8fab03c21c92118ced5dd7c8e57f7f184e11688821c7ff9ce811be48040,站姿俯身W字训练,力量与稳定性,上肢肩胛稳定,,然后双臂屈肘后拉至与躯干呈W字形,俯身W形后拉以肩胛内收和稳定性为明确训练目标。,proposed,,passed
209,7,0455cd6ecf3999ad54b0fbe598b3909d02f58bd94346b86f00e20067660941ac,肩胛骨俯卧撑训练,力量与稳定性,上肢肩胛稳定,,重复向内收紧、向外打开肩胛骨至规定的次数,直臂承重下反复肩胛前伸后缩聚焦肩胛胸廓控制。,proposed,,passed
210,8,23bba186fd9716ac20b82b1cfaf7ed6eb4b1c9e1cfb691f66727b90f75cf596a,弹力带水平外展训练,力量与稳定性,肩带与上背抗阻力量,,强化肩部及上背部肌群,弹力带水平拉开以肩部和上背肌群抗阻强化为中心。,proposed,,passed
211,9,17d5442efd3c6f497c3c828f6051d43241b8f34ec75448a38f99f72b8ea574c4,弹力带45度斜向外展训练,力量与稳定性,肩带与上背抗阻力量,,强化肩部及上背部肌群,双臂斜向对拉增加肩带抗阻负荷并维持肩胛稳定。,proposed,,passed
212,10,bc41fe20241509bde50548b1ed44a57e43c86c5313717e5ce6b1e46d58a92be9,弹力带抗阻W字下拉训练,力量与稳定性,上肢肩胛稳定,,强化肩部及肩胛骨周围肌群,从Y形转W形下拉通过弹力带阻力强化肩带稳定肌群。,proposed,,passed
213,11,1c3e01b01bce6204c1e1ca511c7cefe59230172498f798619d336ffcb774f3e8,弹力带抗阻Y字训练,力量与稳定性,上肢肩胛稳定,,增强肩胛胸廓关节的稳定性,站姿抗阻上举配合躯干固定服务肩胛稳定训练。,proposed,,passed
214,12,5976527cacd14ceb305d44d162afddc6519af4ba80273a47a857abbe34c41deb,弹力带站姿俯身Y字训练,力量与稳定性,上肢肩胛稳定,,激活肩部及肩胛骨周围肌群,踩带俯身上举以肩胛收紧及抗阻抬臂为主要练习内容。,proposed,,passed
215,13,ea92d4735326f28efe15f5f2c666037e87b20c093b1cf426cd7bc840f76821ad,弹力带肩胛骨后缩训练,力量与稳定性,上肢肩胛稳定,,激活肩部及肩胛骨周围肌群,正文先后缩肩胛再双臂上举以训练肩带稳定控制。,proposed,,passed
216,14,96c238ccbea5fc7d5a3a03826f9b0eaad8e23114d3e5ea8b195bd816422d81d9,弹力带四点跪姿后顶瑞士球抬臂训练,力量与稳定性,上肢肩胛稳定,,右臂向身体正前方上抬至与躯干呈一条直线,跪撑固定下肢后单臂抗阻前抬明确以肩胛肌群激活为目标。,proposed,,passed
217,15,46f43e91057d21912579ce54e9fd92e25130912b4f2a1570aa8b02a134a86a29,弹力带肩胛骨后缩双臂上举训练,力量与稳定性,上肢肩胛稳定,,增强肩胛胸廓关节的稳定性,肩胛后缩结合双臂上举以稳定肩胛胸廓关节为主。,proposed,,passed
218,16,5ab0d202d0631b138dcf513960a734c9840e47e2539962e5c2c592165c4531c8,迷你带蚌式训练,力量与稳定性,髋外展力量与骨盆稳定,,激活并强化髋外展肌群，提高骨盆稳定性,侧卧蚌式抵抗迷你带完成开膝以强化髋外侧稳定肌。,proposed,,passed
219,17,3c82b1bcbb0ebcd873727f57e3b4c4ebec9a4786e28870253d81cd6527c9513e,迷你带站姿单腿外展训练,力量与稳定性,髋外展力量与骨盆稳定,,右腿外旋，使膝关节向外打开至最大限度,站姿浅蹲固定双脚并单侧开膝围绕髋部肌群强化。,proposed,,passed
220,18,2cdf95ddad45e1e84334e3424114027ec6dfb448d3eb60250c50d78d84e1378e,迷你带站姿双腿外展训练,力量与稳定性,髋外展力量与骨盆稳定,,双腿同时外旋，使膝关节向外打开至最大限度,双侧同步开膝抵抗迷你带负荷以提高骨盆稳定性。,proposed,,passed
221,19,d77e2d722708bb1535425794de39eec94a9f7c8ab6f5c45d82bf50a291093f1d,迷你带侧向行走训练,力量与稳定性,髋外展力量与骨盆稳定,,激活并强化髋外展肌群，提高骨盆稳定性,带阻侧向迈步在浅蹲位持续负荷髋外展肌群。,proposed,,passed
222,20,780e2748c90792525a54a4151a284dc03e8d1cbf289dda17d7c091d1546e313a,迷你带向前行走训练,力量与稳定性,髋外展力量与骨盆稳定,,激活并强化髋外展肌群，提高骨盆稳定性,前后带阻行走的明确目标是髋肌激活与骨盆稳定。,proposed,,passed
