id,topic_code,subtopic_code,normalization_note
224,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
225,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
226,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
227,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
230,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
231,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
232,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
233,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
234,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
235,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
292,movement,movement_locomotion,按正文主要目标归入走跑与步态。
303,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
304,movement,movement_jump,按正文主要目标归入跳跃与落地。
305,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
306,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
313,movement,movement_locomotion,按正文主要目标归入走跑与步态。
314,movement,movement_locomotion,按正文主要目标归入走跑与步态。
420,movement,movement_jump,按正文主要目标归入跳跃与落地。
421,movement,movement_jump,按正文主要目标归入跳跃与落地。
422,movement,movement_jump,按正文主要目标归入跳跃与落地。
424,movement,movement_jump,按正文主要目标归入跳跃与落地。
425,movement,movement_jump,按正文主要目标归入跳跃与落地。
430,movement,movement_jump,按正文主要目标归入跳跃与落地。
431,movement,movement_jump,按正文主要目标归入跳跃与落地。
433,movement,movement_jump,按正文主要目标归入跳跃与落地。
434,movement,movement_jump,按正文主要目标归入跳跃与落地。
436,movement,movement_jump,按正文主要目标归入跳跃与落地。
437,movement,movement_jump,按正文主要目标归入跳跃与落地。
438,movement,movement_jump,按正文主要目标归入跳跃与落地。
439,movement,movement_jump,按正文主要目标归入跳跃与落地。
441,movement,movement_jump,按正文主要目标归入跳跃与落地。
442,movement,movement_jump,按正文主要目标归入跳跃与落地。
443,movement,movement_jump,按正文主要目标归入跳跃与落地。
444,movement,movement_jump,按正文主要目标归入跳跃与落地。
445,movement,movement_jump,按正文主要目标归入跳跃与落地。
446,movement,movement_jump,按正文主要目标归入跳跃与落地。
447,movement,movement_jump,按正文主要目标归入跳跃与落地。
448,movement,movement_jump,按正文主要目标归入跳跃与落地。
449,movement,movement_jump,按正文主要目标归入跳跃与落地。
450,movement,movement_jump,按正文主要目标归入跳跃与落地。
451,movement,movement_jump,按正文主要目标归入跳跃与落地。
453,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
454,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
455,movement,movement_jump,按正文主要目标归入跳跃与落地。
456,movement,movement_jump,按正文主要目标归入跳跃与落地。
457,movement,movement_jump,按正文主要目标归入跳跃与落地。
458,movement,movement_jump,按正文主要目标归入跳跃与落地。
459,movement,movement_locomotion,按正文主要目标归入走跑与步态。
462,movement,movement_jump,按正文主要目标归入跳跃与落地。
464,movement,movement_jump,按正文主要目标归入跳跃与落地。
466,movement,movement_jump,按正文主要目标归入跳跃与落地。
477,movement,movement_jump,按正文主要目标归入跳跃与落地。
479,movement,movement_jump,按正文主要目标归入跳跃与落地。
480,movement,movement_jump,按正文主要目标归入跳跃与落地。
482,movement,movement_jump,按正文主要目标归入跳跃与落地。
484,movement,movement_jump,按正文主要目标归入跳跃与落地。
485,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
486,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
487,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
489,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
490,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
492,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
493,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
494,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
495,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
496,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
